ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                    (deg)          (deg)          (k)            (cm/s2) 
TIC 362105060       268.306351     70.467716      5202.0         None           
TIC 160195030       259.834472     84.041474      5429.0         4.24662018     
TIC 257082250       228.948205     74.438381      6278.0         4.37179995     
TIC 236813492       283.442955     57.486556      4500.83007813  None           
TIC 441768062       262.120964     74.500173      7076.0         None           
TIC 165551262       266.763017     58.839685      6163.0         4.42382002     
TIC 230069390       243.281909     71.630962      4728.0         None           
TIC 154010909       205.753681     70.433781      4704.0         None           
TIC 366489827       299.654656     68.412013      8115.0         4.08534002     
TIC 198514070       212.856299     74.545722      5109.0         None           
TIC 252805299       166.76132      44.004714      3935.0         4.58109999     
TIC 239203902       149.053456     21.632362      6372.0         4.4264698      
TIC 233008396       247.704647     73.462066      4846.0         None           
TIC 394120755       287.765898     73.527592      4723.0         4.33463001     
TIC 1884438653      290.892331     69.014697      3696.0         None           
TIC 154008822       205.313435     71.480457      3856.0         None           
TIC 356659021       232.128202     62.747909      6157.0         4.46329021     
TIC 154092074       210.107927     68.491036      5317.0         4.56361008     
TIC 198390460       258.217913     57.862629      None           None           
TIC 229940532       288.076176     63.596458      4714.0         None           
TIC 302584473       133.553382     30.123496      6972.0         4.07632017     
TIC 126321778       134.924456     25.688562      7473.0         4.26247978     
TIC 264217214       294.810686     67.897739      4661.0         None           
TIC 371544061       153.158027     48.405729      6284.72021484  4.29106998     
TIC 284595981       172.638869     59.112232      3351.0         4.76392984     
TIC 88644015        130.507529     39.57688       4074.0         None           
TIC 233237663       267.788565     66.793547      3969.0         None           
TIC 105439663       142.353268     44.773436      4532.0         None           
TIC 103603953       150.901373     67.6257        4033.0         None           
TIC 67439487        155.317755     32.151959      4934.22998047  None           
TIC 8768475         140.234042     32.477941      5584.0         4.53025007     
TIC 284895201       132.335968     32.460157      5163.87988281  None           
TIC 154011935       206.190178     68.089419      4811.0         None           
TIC 453426688       146.43442      50.235637      4427.0         4.29921007     
TIC 233615629       283.692534     63.024387      6556.0         4.29258013     
TIC 302654026       157.673468     51.401167      7127.0         4.10538006     
TIC 154562198       189.130876     73.318674      5968.0         4.44940996     
TIC 43216584        169.277214     46.194329      4294.5         None           
TIC 99901644        168.042475     61.204383      8067.0         4.15286016     
TIC 310981473       161.461113     69.605249      5627.0         4.50971985     
TIC 258870522       287.854099     68.509295      6408.0         4.43373013     
TIC 424731850       255.325193     60.116762      5624.0         4.20107985     
TIC 117281039       131.297609     29.287367      6075.72998047  4.47723007     
TIC 356976616       273.815791     54.14069       4930.0         None           
TIC 17238632        147.066453     37.918764      6108.04980469  4.31211996     
TIC 233051005       268.929152     61.395942      8092.0         3.98918009     
TIC 259172391       292.767675     71.497387      6240.0         4.46607018     
TIC 8921933         152.772004     34.845681      5145.72998047  4.29345989     
TIC 236871353       302.89529      62.078544      6397.0         3.74066997     
TIC 155207214       144.838837     33.93185       3099.0         None           
TIC 417849630       152.281949     63.952426      3859.0         None           
TIC 155670136       206.611804     82.529636      6098.0         4.45426989     
TIC 16146712        136.566646     41.123266      5144.64013672  4.6392498      
TIC 331941912       148.327477     58.563948      5043.0         None           
TIC 9337981         138.365992     36.094134      3993.0         4.40146017     
TIC 103743690       156.751042     67.370194      5596.0         None           
TIC 138589695       176.546952     62.014044      4927.0         None           
TIC 900749927       164.986784     77.770175      4978.0         None           
TIC 355930535       139.303453     49.866809      3987.0         None           
