 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 142979644       181.736374     70.130968      3181.0         4.9558301      
 TIC 445829772       173.087324     49.736019      5874.0         4.06155014     
 TIC 329269049       269.056095     52.125158      4788.0         4.43188        
 TIC 230114503       248.782764     69.940446      5800.0         3.72092009     
 TIC 280033934       297.589467     70.287651      5376.0         4.43810987     
 TIC 148622555       154.166677     59.379111      6751.0         4.08339977     
 TIC 154511165       187.102913     74.23539       6730.0         4.12057018     
 TIC 232965249       197.205716     68.641289      5888.0         None           
 TIC 362259855       286.447109     74.090513      5442.0         3.73182011     
 TIC 198354443       256.129674     57.072753      6261.0         4.15004015     
 TIC 160618494       246.347365     74.927613      6073.0         4.30729008     
 TIC 142308209       193.420723     63.60321       5855.0         None           
 TIC 318210930       142.544954     53.649827      4663.04003906  None           
 TIC 142980153       181.786851     66.999731      5934.0         4.4667201      
 TIC 377390037       161.499467     56.920839      7255.0         3.82937002     
 TIC 353780788       276.564033     58.442573      5853.0         4.43915987     
 TIC 229910746       287.349494     61.837795      6008.0         4.0717001      
 TIC 142441910       146.253587     68.785077      6376.0         4.40545988     
 TIC 8677671         137.452513     30.426895      6644.47998047  4.13353014     
 TIC 233532554       280.447505     62.676373      7869.0         3.9224         
 TIC 103656297       152.677882     67.658806      5830.0         None           
 TIC 165884497       131.261766     30.860632      6103.0         4.35206985     
 TIC 198537349       237.124491     62.344351      7079.0         3.86711001     
 TIC 55753808        181.601735     57.160041      33620.0        5.90256023     
 TIC 424461577       279.734272     60.398177      6475.0         3.83779001     
 TIC 219750638       261.112285     64.206637      5626.0         None           
 TIC 198382838       257.531769     58.407818      5180.0         4.14041996     
 TIC 420137341       291.667274     73.578527      5754.0         None           
 TIC 310922962       172.047841     55.668156      7853.0         4.20237017     
 TIC 219107776       271.059369     67.903409      5149.0         None           
 TIC 287225599       143.924588     53.296331      5700.0         4.55163002     
 TIC 285019418       158.470313     58.781867      7848.0         None           
 TIC 142810347       163.590581     70.624178      6223.0         4.10434008     
 TIC 147610499       148.619236     69.222851      6730.0         4.05068016     
 TIC 417917644       181.736651     65.556789      3434.0         4.79809999     
 TIC 406758816       161.33543      45.566307      9062.0         3.64305997     
 TIC 318290913       164.236648     53.503606      5420.72998047  4.35384989     

