 ID                  RA_OBJ         DEC_OBJ        Teff           logg       
                     (deg)          (deg)          (k)            (cm/s2) 
 TIC 272669886       233.747972     68.550591      3257.0         4.85645008     
 TIC 67665605        148.714466     37.415084      7661.27978516  4.08439016     
 TIC 376870091       283.519677     74.94467       3162.0         4.99909019     
 TIC 166597074       135.924082     34.806145      3068.0         5.09782982     
 TIC 420113351       290.459512     72.186627      3868.0         4.60043001     
 TIC 9347168         149.940139     38.81838       4742.0         4.21990013     
 TIC 219771690       263.137201     62.485156      3496.0         4.74650002     
 TIC 356683689       174.860427     77.400735      3082.0         4.96431017     
 TIC 86273642        140.947525     63.960756      3122.0         5.06100988     
 TIC 270491267       232.359738     70.198414      31000.0        5.59961987     
 TIC 359678111       281.075267     57.694429      3773.0         4.64768982     
 TIC 142848794       174.485863     67.329739      6563.0         None           
 TIC 147940462       167.090927     71.958982      7038.0         3.60349011     
 TIC 55725430        179.90727      56.050193      4427.43994141  4.27567005     
 TIC 229514668       194.264653     59.438085      6307.0         4.35520983     
 TIC 232524855       193.990616     76.402905      5990.0         4.3836298      
 TIC 307986889       257.571062     63.361394      4754.0         4.58143997     
 TIC 357154888       145.300203     48.60243       4601.0         4.54711008     
 TIC 237104916       241.307154     66.504131      3245.0         4.9692502      
 TIC 86265580        139.954792     62.450844      3048.0         5.08802986     
 TIC 39734089        154.274184     42.914384      9012.01953125  None           
 TIC 198185267       245.62197      62.56954       3182.0         4.99008989     
 TIC 257002707       223.932513     76.306582      6423.0         None           
 TIC 252465620       149.96037      48.969887      4279.0         4.56867981     
 TIC 373675061       188.442086     65.001374      3215.0         4.99912977     
 TIC 105488249       144.518668     44.654299      5058.0         4.59914017     
 TIC 445854352       197.648886     81.521988      5525.0         4.56106997     
 TIC 417735733       299.493225     66.714276      5298.0         4.15931988     
 TIC 148836026       162.65935      51.750426      3282.0         4.90221024     
 TIC 269698740       301.840718     70.99668       3773.0         4.3636198      
 TIC 458481937       235.041103     65.537735      3294.0         4.98298979     
 TIC 172533237       143.248078     27.197058      6734.91015625  4.09590006     
 TIC 236987797       305.421927     62.334048      5035.0         4.49725008     
 TIC 270491862       232.342372     67.212043      6086.0         4.01566982     
 TIC 229650681       280.88231      75.663301      4273.0         4.27345991     
 TIC 233692125       275.760563     61.189137      3131.0         4.69289017     
 TIC 188397025       132.425131     38.761583      3268.0         4.91173983     
 TIC 160619243       246.07736      77.902432      3537.0         4.65962982     
 TIC 237222539       296.203388     74.766732      5209.0         4.68002987     
 TIC 302666414       163.004997     55.355145      7419.0         3.62270999     
 TIC 17193333        145.529618     40.934531      6673.89990234  4.23857021     
 TIC 309764576       155.480527     59.551899      5597.0         4.56240988     
 TIC 232649837       281.744985     55.641324      None           None           
 TIC 287085893       253.309757     70.266585      5302.0         3.95984006     
 TIC 8198339         156.614556     38.750737      3676.0         4.98169994     
 TIC 230132989       252.500082     67.252612      6795.0         None           
 TIC 198413432       259.25821      56.205193      5121.0         4.29987001     
 TIC 165555377       267.062196     59.389693      3162.0         5.01632977     
 TIC 198187008       245.8402       61.8208        None           4.87214994     
 TIC 55723955        179.671771     54.787102      3245.0         4.85046005     
